dataset,embedding,regressor,strategy,method_label,auc_normalized_pred,file_path
AD-1-2-2,onehot_pca,LinearRegression,kmeans_high_expression,onehot_pca_LinearRegression,0.22948566874725,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-2,onehot_pca,RandomForestRegressor,kmeans_high_expression,onehot_pca_RandomForestRegressor,0.2686534515094999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-2,onehot_pca,RandomForestRegressor,kmeans_random,onehot_pca_RandomForestRegressor,0.2540048990974999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-2,onehot_pca,MLPRegressor,kmeans_random,onehot_pca_MLPRegressor,0.2540048990974999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-2,onehot_pca,MLPRegressor,kmeans_high_expression,onehot_pca_MLPRegressor,0.2942372680944999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-2,evo,LinearRegression,kmeans_random,evo_LinearRegression,0.2443208514887499,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-2,evo,LinearRegression,kmeans_high_expression,evo_LinearRegression,0.3262274664162501,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-2,evo,RandomForestRegressor,kmeans_high_expression,evo_RandomForestRegressor,0.34119230104875,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-2,evo,RandomForestRegressor,kmeans_random,evo_RandomForestRegressor,0.2443208514887499,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-2,evo,MLPRegressor,kmeans_random,evo_MLPRegressor,0.2443208514887499,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-2,evo,MLPRegressor,kmeans_high_expression,evo_MLPRegressor,0.3273213313325001,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-2/evo2_pca/combined_all_custom_metrics.csv
AD-2-5-3,sei,LinearRegression,kmeans_random,sei_LinearRegression,0.3344440300029249,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/sei_pca/combined_all_custom_metrics.csv
AD-2-5-3,sei,LinearRegression,kmeans_high_expression,sei_LinearRegression,0.4147087950493749,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/sei_pca/combined_all_custom_metrics.csv
AD-2-5-3,sei,RandomForestRegressor,kmeans_high_expression,sei_RandomForestRegressor,0.4217679289000751,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/sei_pca/combined_all_custom_metrics.csv
AD-2-5-3,sei,RandomForestRegressor,kmeans_random,sei_RandomForestRegressor,0.3344440300029249,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/sei_pca/combined_all_custom_metrics.csv
AD-2-5-3,sei,MLPRegressor,kmeans_random,sei_MLPRegressor,0.3344440300029249,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/sei_pca/combined_all_custom_metrics.csv
AD-2-5-3,sei,MLPRegressor,kmeans_high_expression,sei_MLPRegressor,0.235207170273,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/sei_pca/combined_all_custom_metrics.csv
AD-2-5-3,onehot_pca,LinearRegression,kmeans_random,onehot_pca_LinearRegression,0.300369156771,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/onehot_pca/combined_all_custom_metrics.csv
AD-2-5-3,onehot_pca,LinearRegression,kmeans_high_expression,onehot_pca_LinearRegression,0.2401763438184999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/onehot_pca/combined_all_custom_metrics.csv
AD-2-5-3,onehot_pca,RandomForestRegressor,kmeans_high_expression,onehot_pca_RandomForestRegressor,0.278246727573075,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/onehot_pca/combined_all_custom_metrics.csv
AD-2-5-3,onehot_pca,RandomForestRegressor,kmeans_random,onehot_pca_RandomForestRegressor,0.300369156771,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/onehot_pca/combined_all_custom_metrics.csv
AD-2-5-3,onehot_pca,MLPRegressor,kmeans_random,onehot_pca_MLPRegressor,0.300369156771,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/onehot_pca/combined_all_custom_metrics.csv
AD-2-5-3,onehot_pca,MLPRegressor,kmeans_high_expression,onehot_pca_MLPRegressor,0.31021371898375,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/onehot_pca/combined_all_custom_metrics.csv
AD-2-5-3,evo,LinearRegression,kmeans_random,evo_LinearRegression,0.2250033668779125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/evo2_pca/combined_all_custom_metrics.csv
AD-2-5-3,evo,LinearRegression,kmeans_high_expression,evo_LinearRegression,0.2060877042871625,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/evo2_pca/combined_all_custom_metrics.csv
AD-2-5-3,evo,RandomForestRegressor,kmeans_high_expression,evo_RandomForestRegressor,0.2010648701885625,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/evo2_pca/combined_all_custom_metrics.csv
AD-2-5-3,evo,RandomForestRegressor,kmeans_random,evo_RandomForestRegressor,0.2250033668779125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/evo2_pca/combined_all_custom_metrics.csv
AD-2-5-3,evo,MLPRegressor,kmeans_random,evo_MLPRegressor,0.2250033668779125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/evo2_pca/combined_all_custom_metrics.csv
AD-2-5-3,evo,MLPRegressor,kmeans_high_expression,evo_MLPRegressor,0.2243922445566125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-2-5-3/evo2_pca/combined_all_custom_metrics.csv
AD-3-2-1,sei,LinearRegression,kmeans_random,sei_LinearRegression,0.318913276189175,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/sei_pca/combined_all_custom_metrics.csv
AD-3-2-1,sei,LinearRegression,kmeans_high_expression,sei_LinearRegression,0.190687431879175,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/sei_pca/combined_all_custom_metrics.csv
AD-3-2-1,sei,RandomForestRegressor,kmeans_high_expression,sei_RandomForestRegressor,0.371539649452175,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/sei_pca/combined_all_custom_metrics.csv
AD-3-2-1,sei,RandomForestRegressor,kmeans_random,sei_RandomForestRegressor,0.318913276189175,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/sei_pca/combined_all_custom_metrics.csv
AD-3-2-1,sei,MLPRegressor,kmeans_random,sei_MLPRegressor,0.318913276189175,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/sei_pca/combined_all_custom_metrics.csv
AD-3-2-1,sei,MLPRegressor,kmeans_high_expression,sei_MLPRegressor,0.355417827230775,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/sei_pca/combined_all_custom_metrics.csv
AD-3-2-1,onehot_pca,LinearRegression,kmeans_random,onehot_pca_LinearRegression,0.25829655022244,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-2-1,onehot_pca,LinearRegression,kmeans_high_expression,onehot_pca_LinearRegression,0.332820897395,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-2-1,onehot_pca,RandomForestRegressor,kmeans_high_expression,onehot_pca_RandomForestRegressor,0.1860450263275,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-2-1,onehot_pca,RandomForestRegressor,kmeans_random,onehot_pca_RandomForestRegressor,0.25829655022244,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-2-1,onehot_pca,MLPRegressor,kmeans_random,onehot_pca_MLPRegressor,0.25829655022244,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-2-1,onehot_pca,MLPRegressor,kmeans_high_expression,onehot_pca_MLPRegressor,0.2673215054982499,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/onehot_pca/combined_all_custom_metrics.csv
AD-3-2-1,evo,LinearRegression,kmeans_random,evo_LinearRegression,0.3938137356995,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-2-1,evo,LinearRegression,kmeans_high_expression,evo_LinearRegression,0.357741662683,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-2-1,evo,RandomForestRegressor,kmeans_high_expression,evo_RandomForestRegressor,0.21863037628425,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-2-1,evo,RandomForestRegressor,kmeans_random,evo_RandomForestRegressor,0.3938137356995,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-2-1,evo,MLPRegressor,kmeans_random,evo_MLPRegressor,0.3938137356995,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/evo2_pca/combined_all_custom_metrics.csv
AD-3-2-1,evo,MLPRegressor,kmeans_high_expression,evo_MLPRegressor,0.28881898916175,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-2-1/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-3,sei,LinearRegression,kmeans_random,sei_LinearRegression,0.1947969223825,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/sei_pca/combined_all_custom_metrics.csv
AD-1-2-3,sei,LinearRegression,kmeans_high_expression,sei_LinearRegression,0.2261910685049999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/sei_pca/combined_all_custom_metrics.csv
AD-1-2-3,sei,RandomForestRegressor,kmeans_high_expression,sei_RandomForestRegressor,0.206768485645,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/sei_pca/combined_all_custom_metrics.csv
AD-1-2-3,sei,RandomForestRegressor,kmeans_random,sei_RandomForestRegressor,0.1947969223825,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/sei_pca/combined_all_custom_metrics.csv
AD-1-2-3,sei,MLPRegressor,kmeans_random,sei_MLPRegressor,0.1947969223825,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/sei_pca/combined_all_custom_metrics.csv
AD-1-2-3,sei,MLPRegressor,kmeans_high_expression,sei_MLPRegressor,0.1822292910962499,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/sei_pca/combined_all_custom_metrics.csv
AD-1-2-3,onehot_pca,LinearRegression,kmeans_random,onehot_pca_LinearRegression,0.24060486616275,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-3,onehot_pca,LinearRegression,kmeans_high_expression,onehot_pca_LinearRegression,0.3013346084919999,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-3,onehot_pca,RandomForestRegressor,kmeans_high_expression,onehot_pca_RandomForestRegressor,0.25960376474575,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-3,onehot_pca,RandomForestRegressor,kmeans_random,onehot_pca_RandomForestRegressor,0.24060486616275,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-3,onehot_pca,MLPRegressor,kmeans_random,onehot_pca_MLPRegressor,0.24060486616275,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-3,onehot_pca,MLPRegressor,kmeans_high_expression,onehot_pca_MLPRegressor,0.289513043926,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/onehot_pca/combined_all_custom_metrics.csv
AD-1-2-3,evo,LinearRegression,kmeans_random,evo_LinearRegression,0.2279318318978124,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-3,evo,LinearRegression,kmeans_high_expression,evo_LinearRegression,0.2085357827129375,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-3,evo,RandomForestRegressor,kmeans_high_expression,evo_RandomForestRegressor,0.2209934680361875,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-3,evo,RandomForestRegressor,kmeans_random,evo_RandomForestRegressor,0.2279318318978124,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-3,evo,MLPRegressor,kmeans_random,evo_MLPRegressor,0.2279318318978124,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/evo2_pca/combined_all_custom_metrics.csv
AD-1-2-3,evo,MLPRegressor,kmeans_high_expression,evo_MLPRegressor,0.2812408670320625,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-2-3/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-3,sei,LinearRegression,kmeans_random,sei_LinearRegression,0.2497502160077375,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/sei_pca/combined_all_custom_metrics.csv
AD-3-3-3,sei,LinearRegression,kmeans_high_expression,sei_LinearRegression,0.1472722766166125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/sei_pca/combined_all_custom_metrics.csv
AD-3-3-3,sei,RandomForestRegressor,kmeans_high_expression,sei_RandomForestRegressor,0.1320473289299875,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/sei_pca/combined_all_custom_metrics.csv
AD-3-3-3,sei,RandomForestRegressor,kmeans_random,sei_RandomForestRegressor,0.2497502160077375,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/sei_pca/combined_all_custom_metrics.csv
AD-3-3-3,sei,MLPRegressor,kmeans_random,sei_MLPRegressor,0.2497502160077375,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/sei_pca/combined_all_custom_metrics.csv
AD-3-3-3,sei,MLPRegressor,kmeans_high_expression,sei_MLPRegressor,0.3395327380716374,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/sei_pca/combined_all_custom_metrics.csv
AD-3-3-3,onehot_pca,LinearRegression,kmeans_random,onehot_pca_LinearRegression,0.2391901714348374,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-3,onehot_pca,LinearRegression,kmeans_high_expression,onehot_pca_LinearRegression,0.1445096678585875,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-3,onehot_pca,RandomForestRegressor,kmeans_high_expression,onehot_pca_RandomForestRegressor,0.0988363110998374,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-3,onehot_pca,RandomForestRegressor,kmeans_random,onehot_pca_RandomForestRegressor,0.2391901714348374,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-3,onehot_pca,MLPRegressor,kmeans_random,onehot_pca_MLPRegressor,0.2391901714348374,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-3,onehot_pca,MLPRegressor,kmeans_high_expression,onehot_pca_MLPRegressor,0.1935710322003375,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/onehot_pca/combined_all_custom_metrics.csv
AD-3-3-3,evo,LinearRegression,kmeans_random,evo_LinearRegression,0.2258245400185249,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-3,evo,LinearRegression,kmeans_high_expression,evo_LinearRegression,0.1100484415306249,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-3,evo,RandomForestRegressor,kmeans_high_expression,evo_RandomForestRegressor,0.135383393456125,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-3,evo,RandomForestRegressor,kmeans_random,evo_RandomForestRegressor,0.2258245400185249,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-3,evo,MLPRegressor,kmeans_random,evo_MLPRegressor,0.2258245400185249,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/evo2_pca/combined_all_custom_metrics.csv
AD-3-3-3,evo,MLPRegressor,kmeans_high_expression,evo_MLPRegressor,0.15167442802725,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-3-3-3/evo2_pca/combined_all_custom_metrics.csv
AD-1-3-2,sei,LinearRegression,kmeans_random,sei_LinearRegression,0.3395703296425,/storage2/wangzitongLab/lizelun/project/gene_circuit_design/results/166k_2024_trans_kmeans/AD-1-3-2/sei_pca/combined_all_custom_metrics.csv
